perfume,casual,chic,classic,clear,cool-casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic,wild
Bali Bliss Avon Avon,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Bali Lime Papaya Pacifica Pacifica,1,0,0,1,0,0,1,0,0,0,1,1,0,0
Bali Mango Bath & Body Works Bath & Body Works,1,0,0,1,0,0,1,1,1,0,1,1,1,1
Ballerina Genyum Genyum,1,0,0,0,0,0,0,1,0,0,1,1,1,0
Ballets Rouges Olympic Orchids Artisan Perfumes Olympic Orchids Artisan Perfumes,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Ballroom Philosopher Pinrose Pinrose,1,1,1,1,0,0,1,1,1,0,1,1,1,0
Baloudh Balint Parfums Balint Parfums,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bambolina Hilde Soliani Hilde Soliani,1,0,0,1,0,0,1,1,1,0,1,1,1,1
Bamboo & Green Tea Amberfig Amberfig,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Bamboo Harmony By Kilian By Kilian,1,1,1,1,1,0,1,1,1,0,1,1,1,0
Bamboo Rose Eau de Cologne Aerin Lauder Aerin Lauder,0,0,1,0,0,0,1,1,1,1,0,1,1,1
Bamboo for Men Franck Olivier Franck Olivier,1,1,1,1,0,0,1,1,1,1,1,1,0,0
Bambou Molinard Molinard,1,1,1,1,1,0,1,1,1,1,1,0,0,1
Bambu Adolfo Dominguez Adolfo Dominguez,0,1,1,0,0,0,1,1,1,0,1,1,1,0
Banafsaj Spring Junaid Perfumes Junaid Perfumes,1,0,1,0,0,0,0,1,1,0,1,1,1,1
Banana & Vanilla Custard Flan The Dua Brand The Dua Brand,1,0,1,0,0,1,1,1,1,1,1,1,1,0
Banana Bread Banshee Hez Parfums Hez Parfums,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Banana Candy 1973 1973,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Banana Candy Andromeda's Curse Andromeda's Curse,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Banana Coconut Sweet Essentials Sweet Essentials,1,0,1,1,0,0,1,1,1,1,1,1,0,1
Banana Flambee Demeter Fragrance Demeter Fragrance,1,0,0,0,0,1,1,0,1,0,1,1,1,0
Banana Foster The Dua Brand The Dua Brand,1,0,1,0,0,1,1,1,1,1,1,1,1,0
Banana Pineapple Cream Sweet Essentials Sweet Essentials,1,0,1,0,0,0,0,1,0,1,1,1,0,0
Banana Republic M Banana Republic Banana Republic,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Banana Republic W Banana Republic Banana Republic,1,0,0,1,0,0,1,1,1,0,0,1,1,1
Banana Star Nature Star Nature,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Banana Twist Victoria's Secret Victoria's Secret,1,0,0,1,0,0,1,0,0,0,1,1,0,0
Bananas Foster Ganache Parfums Ganache Parfums,1,0,1,0,0,1,1,1,1,1,1,1,1,0
Bandana Kaloo Kaloo,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Bang Bang Marc Jacobs Marc Jacobs,0,1,1,0,0,0,0,1,1,1,1,0,0,1
Bangla Yasaman Isabelle Larignon Isabelle Larignon,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Banho de Energia Natura Natura,1,1,1,0,0,0,0,1,1,0,1,1,1,1
Banho de Sorte O Boticario O Boticario,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Bani Day Three Day Three,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Baniyas WIDIAN WIDIAN,1,1,1,1,1,0,1,1,1,0,1,1,1,0
Banoffee Thipos Thipos,1,0,1,0,0,0,0,1,0,1,1,1,1,0
Baobab Tesori d'Oriente Tesori d'Oriente,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bapteme Ambre Phaedon Phaedon,0,1,1,0,0,0,0,1,0,1,1,1,1,1
Baptisma Chapel Factory Chapel Factory,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Baque Slumberhouse Slumberhouse,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Baracat S.A.C.K.Y S.A.C.K.Y,1,1,0,1,0,1,1,1,0,0,1,1,1,0
Baraonda Nasomatto Nasomatto,0,1,1,0,0,1,1,1,1,0,1,1,1,1
Barbara Esther P Esther P,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Barbarian SweDoft SweDoft,1,1,1,0,0,0,0,1,1,1,1,1,1,1
Barber Cologne Elixir Red C.O.Bigelow C.O.Bigelow,1,1,1,1,0,0,0,0,0,0,1,1,0,0
Barbie Be You Jequiti Jequiti,1,0,0,1,0,0,1,1,1,0,1,1,1,1
Barbie DefineMe DefineMe,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Barbie Eau de Toilette Avon Avon,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Barbie Kiss Barbie Barbie,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Barbie Lush Lush,0,1,1,0,0,1,0,1,0,1,1,0,0,0
Barbie Pink Kiss Avon Avon,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Barbie Zara Zara,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Barbotine L'Occitane en Provence L'Occitane en Provence,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Bardiglio I Profumi Del Marmo I Profumi Del Marmo,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bare Vanilla Candied Victoria's Secret Victoria's Secret,1,0,1,0,0,0,0,1,0,1,1,1,1,0
Bare Vanilla Heat Victoria's Secret Victoria's Secret,1,0,1,0,0,0,0,1,0,1,1,1,0,0
Bare Vanilla Noir Victoria's Secret Victoria's Secret,1,0,1,0,0,0,0,1,0,1,1,1,0,0
Bare Vanilla Radiant Victoria's Secret Victoria's Secret,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Bare Victoria's Secret Victoria's Secret,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Bareea Oil Junaid Perfumes Junaid Perfumes,0,0,1,0,0,0,0,1,0,0,0,1,1,0
Barista Legendary Fragrances Legendary Fragrances,1,1,1,0,0,0,1,1,1,1,1,1,1,0
Barkhane Teo Cabanel Teo Cabanel,0,1,1,0,0,0,0,1,1,1,1,1,1,1
Barneys + L¡¯Wren Scott Barneys New York Barneys New York,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Baroque Yardley Yardley,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Barrel MiN New York MiN New York,0,1,1,0,0,1,1,1,1,1,1,1,1,1
Bart Simpson Avon Avon,0,1,1,1,1,0,0,1,1,0,1,0,0,1
Baryshnikov Sport Mikhail Baryshnikov Mikhail Baryshnikov,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Basala Shiseido Shiseido,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Basil & Bartlett Providence Perfume Co. Providence Perfume Co.,1,1,1,1,1,0,0,1,1,0,1,1,1,0
Basil & Neroli Jo Malone London Jo Malone London,1,1,1,1,1,0,1,0,1,0,1,0,0,0
Basil Demeter Fragrance Demeter Fragrance,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Basil Gather Perfume Gather Perfume,1,1,1,1,1,0,1,0,1,0,1,1,1,1
Basil Nectarine Tipton Charles Tipton Charles,1,1,0,1,1,0,0,0,1,0,1,1,0,0
Basilico & Fellini Vilhelm Parfumerie Vilhelm Parfumerie,1,1,1,1,1,0,0,1,1,0,1,1,1,0
Bass Ephemera by Unsound Ephemera by Unsound,0,1,1,1,1,1,1,0,1,0,1,0,0,1
Bat Edition 2020 Zoologist Perfumes Zoologist Perfumes,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Bat Zoologist Perfumes Zoologist Perfumes,1,1,1,1,0,0,1,1,1,1,1,1,0,1
Bat-Sheba Woody Modern Judith Muller Judith Muller,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Batman Zara Zara,1,0,1,1,0,0,1,1,1,1,0,0,0,1
Batticuore NonPlusUltra Parfum NonPlusUltra Parfum,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Battito d'Ali Profumum Roma Profumum Roma,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Batucada L'Artisan Parfumeur L'Artisan Parfumeur,1,0,1,1,1,0,1,1,1,0,1,1,1,0
Baume du Doge Eau D'Italie Eau D'Italie,1,1,1,1,0,0,1,1,0,1,1,0,0,1
Bay Citrus for men Arran Aromatics Arran Aromatics,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Bay Rum Beach Geeza Beach Geeza,0,1,1,0,0,1,1,1,1,1,1,0,0,1
Bay Rum Cavalera Cavalera,0,0,1,0,0,1,1,1,1,1,0,0,0,0
Bay Rum Cologne Gilbert Henry Gilbert Henry,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Bay Rum With a Twist Saint Charles Shave Saint Charles Shave,1,0,1,1,0,1,1,1,1,1,0,0,0,0
Bayan Mulak Sigilli Sigilli,0,1,1,1,0,0,0,1,0,0,1,1,1,1
Bayolea Penhaligon's Penhaligon's,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bayres Hombre La Martina La Martina,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Bayrhum Vetiver Creed Creed,0,1,1,0,0,0,0,1,0,1,1,0,0,0
Bayun the Cat ¬¬¬à¬ä ¬¢¬Ñ¬ð¬ß Ladanika Ladanika,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Baz The Spirit of Dubai The Spirit of Dubai,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bazar pour Femme Summer Fragrance Christian Lacroix Christian Lacroix,1,0,1,0,0,0,0,1,1,1,1,1,1,1
Bazar pour Homme Christian Lacroix Christian Lacroix,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Be 21 Orlane Orlane,0,1,1,0,0,0,0,1,0,1,1,1,1,0
Be Careful What You Wish For 4160 Tuesdays 4160 Tuesdays,1,1,1,1,0,0,1,1,0,1,1,1,0,0
Be Earnest Rosy & Earnest Rosy & Earnest,1,0,1,1,1,0,0,1,1,0,1,1,1,1
Be Enchanted Bath & Body Works Bath & Body Works,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Be Happy Feel Good Oriflame Oriflame,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Be Jeweled Rouge Vera Wang Vera Wang,1,0,1,1,0,0,1,1,1,0,1,1,1,1
Be Jeweled Vera Wang Vera Wang,1,0,1,0,0,1,1,1,1,0,1,1,1,1
Be Mindful Man Tom Tailor Tom Tailor,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Be Mindful Woman Tom Tailor Tom Tailor,1,0,1,1,0,0,1,1,1,1,1,1,1,1
Be Sparkling Gai Mattiolo Gai Mattiolo,1,0,1,1,0,0,1,1,1,0,1,1,1,1
Be The Legend Oriflame Oriflame,0,0,1,0,0,0,1,1,1,1,0,0,0,1
Be Trendy Active Dzintars Dzintars,1,1,1,1,1,0,1,1,1,0,1,1,1,0
Be Trendy Force Dzintars Dzintars,1,0,1,1,0,0,1,1,1,1,0,1,1,1
Be Trendy Power Dzintars Dzintars,1,1,1,1,1,0,1,1,1,0,1,1,1,0
Be. Azul Be. Colonias Be. Colonias,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Be... Kissable! Avon Avon,1,0,1,1,0,0,1,1,1,1,0,1,1,1
Be... Sensual Avon Avon,1,1,1,0,0,0,1,1,1,0,1,1,1,1
Beach Bizarre V/SITEUR V/SITEUR,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Beach Bobbi Brown Bobbi Brown,1,0,1,1,0,0,1,0,0,0,0,1,1,0
Beach Dreams Hawaiian Tropic Hawaiian Tropic,1,1,1,0,0,0,1,1,1,0,1,1,1,1
Beach Party La Rive La Rive,1,1,1,1,0,0,1,1,1,0,1,1,0,1
Beach Victoria's Secret Victoria's Secret,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beach, ¬³¬à¬Ý¬×¬ß¬à¬Ö ¬³¬à¬Ý¬ß¬è¬Ö OsmoGenes Perfumes OsmoGenes Perfumes",1,1,1,0,0,0,1,1,1,0,1,1,1,1
Beachfront Blanket Bath & Body Works Bath & Body Works,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Beachscape Jennifer Aniston Jennifer Aniston,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Beagle Fueguia 1833 Fueguia 1833,0,1,1,0,0,1,1,0,1,0,1,0,0,0
Beartrapper DS&Durga DS&Durga,1,0,0,1,1,0,1,0,1,0,0,0,0,1
Beat Cafe Jusbox Jusbox,0,1,1,1,0,1,1,1,1,1,1,0,0,1
Beau Contour Alta Moda Alta Moda,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Beau de Provence Fragonard Fragonard,1,1,1,1,1,0,1,1,1,0,1,1,1,0
Beaute du Diable Les Liquides Imaginaires Les Liquides Imaginaires,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Beautiful Day Bath & Body Works Bath & Body Works,1,0,0,0,0,0,0,1,0,0,1,1,1,0
Beautiful Day Castelbajac Castelbajac,1,0,1,1,0,0,1,1,1,1,0,1,1,1
Beautiful Day In Love Castelbajac Castelbajac,1,0,0,0,0,0,0,1,1,0,1,1,1,1
Beautiful Day Intense Castelbajac Castelbajac,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Beautiful Day L'Eau Bonheur Castelbajac Castelbajac,1,1,1,0,0,0,0,1,1,1,1,1,1,1
Beautiful Eisenberg Eisenberg,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Beautiful Fool Immortal Perfumes Immortal Perfumes,0,1,1,1,0,1,1,1,1,1,1,1,1,0
Beautiful Monster Blackcliff Parfums Blackcliff Parfums,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Beautiful Times Nanette Lepore Nanette Lepore,1,0,1,1,0,0,1,1,0,1,1,1,1,0
Beauty Al Haramain Perfumes Al Haramain Perfumes,1,0,1,1,0,0,1,1,0,1,1,1,1,0
Beauty Calvin Klein Calvin Klein,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Beauty Is My Business Message in a Bottle Message in a Bottle,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Beauty Like the Night Alkemia Perfumes Alkemia Perfumes,1,0,1,1,0,0,1,1,0,1,0,1,1,0
Beauty Sue Wong Sue Wong,0,1,1,0,0,0,0,1,0,1,1,1,1,1
Beauty You La Rive La Rive,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Beauty and The Beast Areej Le Dore Areej Le Dore,0,1,1,0,0,0,0,1,0,0,1,1,1,0
Beauty-to-Wear Bohemian Belle Pout Pout,0,0,1,0,0,0,0,1,1,0,0,1,1,1
Beauty-to-Wear Foxy Lady Pout Pout,1,0,1,0,0,0,1,1,1,0,1,1,1,0
Bebe Desire Bebe Bebe,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Bebe Hollywood Jetset Bebe Bebe,1,1,1,0,0,1,0,1,1,0,1,1,1,1
Bebe Love Bebe Bebe,1,1,1,1,0,1,0,1,1,0,1,1,1,1
Bebe Luxe Bebe Bebe,1,1,1,0,0,1,0,1,1,0,1,1,1,1
Bebe Nouveau Bebe Bebe,1,0,1,1,0,0,1,1,1,1,1,1,1,1
Bebe Powder TonyMoly TonyMoly,1,0,1,1,0,0,1,1,1,1,0,1,1,1
Bebe Vegas Jetset Bebe Bebe,1,0,0,1,0,0,1,1,0,0,1,1,1,0
Because Of You Jordin Sparks Jordin Sparks,1,0,0,1,0,0,1,1,1,0,0,1,1,1
Become ARgENTUM ARgENTUM,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Bed Of Flowers Edgardio Chilini Edgardio Chilini,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bed of Roses Velvet & Sweet Pea¡¯s Purrfumery Velvet & Sweet Pea¡¯s Purrfumery,1,1,1,1,0,1,1,1,1,0,1,1,1,0
Bee Ellis Brooklyn Ellis Brooklyn,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bee Garden Guerlain Guerlain,1,1,1,1,1,0,1,1,0,0,1,1,1,0
Beeswax Scent Trunk Scent Trunk,0,1,0,1,1,1,1,1,1,0,1,1,1,1
Before The Rain Victoria's Secret Victoria's Secret,1,0,1,1,0,0,1,0,0,0,0,1,1,0
Begum Xerjoff Xerjoff,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Behind Closed Doors A13 A13,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Behind The Curtain Piazza Alla Scala Trussardi Trussardi,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Behique Renier Perfumes Renier Perfumes,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Beige Max Philip Max Philip,1,1,1,1,0,0,1,1,1,0,1,1,0,1
Beijo Que Fica Quem Disse Berenice Quem Disse Berenice,1,1,1,1,0,0,1,1,1,0,1,1,1,0
Beijo de Humor Natura Natura,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Being-Towards-Death Phronema Perfumes Phronema Perfumes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bel Absinthe Roos & Roos Roos & Roos,0,1,1,1,0,0,1,1,1,0,1,1,1,1
Bel Ambre Jacques Fath Jacques Fath,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bel Ami Hermes Hermes,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Bel Ami Vetiver Hermes Hermes,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Bel Oranger Fragonard Fragonard,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Bel-goruch kamen ¬¢¬Ö¬Ý-¬Ô¬à¬â¬ð¬é ¬Ü¬Ñ¬Þ¬Ö¬ß¬î Ladanika Ladanika,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Belara Midnight Mary Kay Mary Kay,1,1,1,0,0,0,0,1,1,0,1,1,0,1
Belem Clandestine Laboratories Clandestine Laboratories,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Belfiore Omanluxury Omanluxury,1,1,1,0,0,0,1,1,1,0,1,1,1,1
Believe Britney Spears Britney Spears,1,1,1,1,0,1,1,1,1,0,1,1,1,0
Believing Phuong Dang Phuong Dang,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Belize Tropical Cabana Bath & Body Works Bath & Body Works,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Bella A Wing & A Prayer Perfumes A Wing & A Prayer Perfumes,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Bella Althea Eudora Eudora,1,0,1,1,0,0,1,1,0,1,0,0,0,0
Bella Belara Mary Kay Mary Kay,1,1,1,0,0,0,0,1,0,0,1,1,1,0
Bella Ciao Ojar Ojar,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Bella Donna Jul et Mad Paris Jul et Mad Paris,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bella Essence Oscar de la Renta Oscar de la Renta,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bella Nina Ricci Nina Ricci,1,0,1,1,1,0,1,1,0,1,0,1,1,0
Bella Trinacria Lunio Lunio,1,1,1,1,0,0,1,1,0,1,1,0,0,1
Bella Vita Guess Guess,1,1,1,0,0,0,0,1,1,1,1,1,1,1
Bella Vita Paradiso Guess Guess,1,1,1,0,0,0,1,1,1,0,1,1,1,1
Bella Vita Rosa Guess Guess,1,1,1,0,0,0,0,1,1,0,1,1,1,1
Belladonna MOR MOR,0,1,1,0,0,0,0,1,1,0,1,1,1,1
Belle Al Haramain Perfumes Al Haramain Perfumes,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Belle Bete Les Liquides Imaginaires Les Liquides Imaginaires,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Belle Cherie Fragonard Fragonard,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Belle Histoire Seven Skies Seven Skies,1,1,1,1,0,1,0,1,0,0,1,1,1,0
Belle Joueuse L'Atelier Parfum L'Atelier Parfum,1,1,1,0,0,0,1,1,1,1,1,1,1,0
Belle Rencontre / Rose Vanille La Maison de la Vanille La Maison de la Vanille,1,1,1,1,1,0,1,1,0,1,1,1,1,0
Belle Tocca Tocca,1,0,0,1,0,0,1,1,1,0,0,1,1,1
Belle d'Amour Dans un Jardin Dans un Jardin,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Belle d'Arles Fragonard Fragonard,1,0,1,1,0,0,1,1,1,0,1,1,1,0
Belle de Soleil Fragonard Fragonard,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Belle de Tanger Byredo Byredo,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Belle en Rykiel Sonia Rykiel Sonia Rykiel,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bellini Frais Le Monde Gourmand Le Monde Gourmand,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Bello Rabelo Les Liquides Imaginaires Les Liquides Imaginaires,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Bellodgia Extrait Caron Caron,0,1,1,0,0,0,0,1,1,1,1,1,1,1
Belo Pomelo Phebo Phebo,1,0,1,1,0,0,1,1,1,1,0,1,1,1
Belong Celine Dion Celine Dion,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Beloved American Beauty American Beauty,1,1,1,1,0,0,1,1,1,0,1,1,1,0
Beloved Man Amouage Amouage,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Beloved Moments American Beauty American Beauty,0,1,1,1,0,0,0,0,0,0,1,1,1,0
Beloved Woman Amouage Amouage,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Bem-Me-Quer Inspire Amizade Jequiti Jequiti,1,0,0,0,0,0,0,1,0,0,1,1,1,0
Beneath The Palms Victoria's Secret Victoria's Secret,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Benetroessere Relent Etro Etro,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Benetton Bianco Benetton Benetton,1,1,1,0,0,0,0,1,1,1,1,1,1,1
Benetton Cold Benetton Benetton,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Benetton Nero Benetton Benetton,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Benetton Pure Sport Men Benetton Benetton,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Benetton Rosso Woman Benetton Benetton,1,1,1,1,0,0,1,1,0,0,1,1,1,1
Benetton Sport Man Benetton Benetton,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Benetton White Night Woman Benetton Benetton,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Benghal Lancome Lancome,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Benjoin 19 Moscow Le Labo Le Labo,0,1,1,0,0,0,1,1,1,0,1,0,0,1
Benjoin G Parfums G Parfums,1,1,1,1,0,0,1,1,1,1,1,0,0,1
Benjoin Solaire Ynepsie Ynepsie,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Benta Benta Berry Benta Berry,1,1,1,1,0,0,1,1,0,1,1,0,0,0
Bentley For Men Azure Bentley Bentley,1,0,1,1,1,0,1,1,1,1,1,1,1,0
Bentley For Men Black Edition Bentley Bentley,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Bentley For Men Silverlake Bentley Bentley,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Bentley for Men Bentley Bentley,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Bentley for Men Intense Bentley Bentley,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Berber Blonde Sana Jardin Sana Jardin,1,0,1,1,0,0,1,1,1,0,0,1,1,1
Bergalicius Sapientiae Niche Sapientiae Niche,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Bergamask Orto Parisi Orto Parisi,1,1,1,1,0,0,1,1,1,0,1,1,1,1
"Bergamot & Neroli, Orange Zielinski & Rozen Zielinski & Rozen",1,0,0,1,0,0,1,0,0,0,0,0,0,0
Bergamot / Spiked Brand No More Brand No More,1,1,1,1,1,0,1,1,1,1,1,0,0,0
Bergamot Bel Amber Emirates Pride Perfumes Emirates Pride Perfumes,1,1,1,1,0,0,1,1,1,0,1,0,0,0
Bergamot Bleu Note Fragrances Note Fragrances,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Bergamot Commodity Commodity,1,1,1,1,1,0,1,1,1,0,1,0,0,1
Bergamota & Flor de Laranjeira Granado Granado,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Bergamote Requin Requin,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Bergamote Soleil Atelier Cologne Atelier Cologne,1,1,1,1,0,0,1,1,0,0,1,1,1,0
Bergamotto Calabro I Profumi di Firenze I Profumi di Firenze,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergamotto Dalibor Parfums Dalibor Parfums,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Bergamotto e Mirto Marino Dr. Vranjes Firenze Dr. Vranjes Firenze,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Bergamusk Heretic Parfums Heretic Parfums,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Berlin Gallivant Gallivant,1,1,1,1,0,0,1,1,0,1,1,0,0,0
Berlin Soul Birkholz Birkholz,0,1,1,1,0,1,1,1,1,1,1,1,1,1
Berlin Urban Mahogany Mahogany,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Berlinetta Maison Alhambra Maison Alhambra,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Berriessence Brocard Brocard,1,1,1,0,0,0,0,1,1,0,1,1,1,1
Berry + Blanche Michael Malul London Michael Malul London,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Berry Berissimo Odetu Odetu,1,1,1,0,0,1,1,1,1,1,1,1,0,1
Berry Elixir No. 16 Victoria's Secret Victoria's Secret,1,1,1,0,0,0,0,0,0,0,1,1,1,0
Berry Escape Victoria's Secret Victoria's Secret,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Berry Santal Victoria's Secret Victoria's Secret,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Berrylicious Private Mood Private Mood,1,0,1,0,0,0,0,1,0,1,1,1,1,0
Beso Feliz Beso Beach Perfumes Beso Beach Perfumes,1,1,1,1,1,0,0,1,1,1,1,1,0,1
Beso de Ylang Atelier Segall & Barutti Atelier Segall & Barutti,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Bespoke Hackett London Hackett London,0,1,1,1,0,1,1,1,1,1,1,0,0,1
Best Company Best Company Best Company,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Best La Rive La Rive,0,1,1,1,1,0,0,1,1,1,1,0,0,1
Best of Chevignon Chevignon Chevignon,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Best of the Best Votre Parfum Votre Parfum,1,1,0,1,0,1,1,0,1,0,1,1,0,1
Bethany Noel Aeropostale Aeropostale,1,0,1,1,0,0,1,1,0,1,1,1,0,0
Betseyfied Betsey Johnson Betsey Johnson,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Better Love Naturel June Jacobs June Jacobs,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Better Than Sex Too Faced Too Faced,1,1,1,1,0,0,1,1,1,0,1,1,1,1
Betty Boop Betty Boop Betty Boop,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Betula Olfactive Pharmacy Olfactive Pharmacy,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Between Two Trees Floraiku Floraiku,1,1,1,1,1,0,1,0,1,0,1,0,0,0
Between the Sheets Demeter Fragrance Demeter Fragrance,1,1,0,1,0,1,1,0,1,0,1,1,0,0
Beverly Hills 1985 DS&Durga DS&Durga,1,0,1,0,0,0,1,1,1,0,1,1,1,0
Beverly Hills 90210 Beverly Hills 90210 Beverly Hills 90210,0,0,1,0,0,0,0,0,0,0,0,1,1,0
